               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10675,             0.13337,                   0,                0.03,             0.47788,            0.037872,            0.012855,             0.10345,            0.060479,                   0,              0.0856,              0.0016,              0.0016
                   1,              0.1052,             0.13217,                   0,            0.029444,             0.46903,            0.037199,            0.013039,             0.10153,            0.062035,                   0,            0.070267,           0.0032673,           0.0032673
                   2,              0.1031,             0.15669,                   0,                0.03,             0.47788,            0.038138,            0.013321,            0.099514,            0.063604,                   0,            0.054901,            0.004901,            0.004901
                   3,             0.10137,             0.13823,                   0,            0.026667,             0.49558,            0.035003,            0.011661,            0.098624,            0.064291,                   0,            0.039501,            0.006501,            0.006501
                   4,             0.10094,             0.15838,                   0,            0.026667,             0.49558,            0.033488,             0.01148,            0.097696,            0.065018,                   0,            0.024067,           0.0080674,           0.0080674
                   5,             0.10046,             0.14263,                   0,            0.026667,             0.49558,            0.046847,            0.012637,             0.09572,            0.066602,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.099389,             0.14715,                   0,            0.027619,             0.51327,             0.02951,           0.0098036,            0.094186,            0.067721,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.098497,             0.16079,                   0,             0.02625,             0.55752,            0.031484,           0.0089686,             0.11074,            0.055221,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.098216,             0.16168,                   0,            0.022963,             0.54867,            0.025853,           0.0071027,             0.12797,             0.04533,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.096319,             0.14739,                   0,            0.021481,             0.51327,            0.021077,           0.0065224,             0.13042,            0.075997,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.096168,             0.13945,                   0,             0.05977,            0.079646,            0.017578,            0.004452,             0.13545,            0.089701,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.094801,             0.16978,                   0,            0.043954,            0.079646,            0.016578,           0.0041139,             0.13909,             0.05287,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.094101,             0.15028,                   0,            0.014815,             0.35398,             0.01353,           0.0029865,             0.13471,            0.044347,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.094224,             0.16092,                   0,            0.015185,             0.36283,            0.011489,           0.0025943,             0.13854,            0.039304,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.093023,             0.17216,                   0,            0.011111,             0.26549,           0.0074122,           0.0015932,             0.13317,            0.040852,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.092507,             0.16207,                   0,            0.011852,             0.28319,           0.0085472,           0.0021493,             0.13692,            0.036175,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.092822,             0.17977,                   0,            0.030071,            0.044248,            0.012783,           0.0028662,             0.13495,            0.033122,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.093297,             0.14162,                   0,            0.026054,            0.026549,           0.0086581,           0.0019618,              0.1342,            0.036442,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.09159,             0.14953,                   0,           0.0085185,             0.20354,           0.0052856,           0.0014355,             0.13403,            0.040119,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.092314,             0.16938,                   0,           0.0077778,             0.18584,           0.0047456,           0.0015067,              0.1326,            0.044261,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.091274,             0.15944,                   0,            0.012415,            0.026549,           0.0057519,           0.0011154,             0.12324,            0.054997,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.091096,             0.16546,                   0,            0.038395,             0.27434,            0.025949,            0.006728,             0.11185,            0.060399,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.089917,             0.16709,                   0,             0.04413,             0.30973,            0.032491,            0.006694,             0.11086,            0.060949,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.091279,             0.16311,                   0,            0.034791,             0.35398,            0.025675,           0.0070492,             0.10582,            0.071146,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.092276,             0.13892,                   0,            0.044269,             0.30973,            0.031124,           0.0080713,             0.10049,             0.07101,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.089026,             0.15175,                   0,            0.059515,             0.22124,            0.038456,            0.011547,            0.091329,             0.06969,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.088071,             0.15091,                   0,            0.075004,             0.12389,            0.047776,             0.01076,            0.084231,            0.073893,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.088137,             0.16408,                   0,              0.0693,             0.13274,            0.040757,             0.01082,            0.087165,            0.074223,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.088678,             0.16102,                   0,            0.067396,             0.15044,            0.043345,            0.010773,            0.085444,            0.075166,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.089936,             0.14169,                   0,            0.039039,             0.45133,            0.031352,            0.008545,            0.084938,            0.076374,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.088488,             0.14841,                   0,            0.043511,             0.53982,            0.035828,           0.0096303,            0.082829,            0.078854,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.089269,             0.15857,                   0,            0.044638,             0.24779,            0.032802,           0.0084074,             0.08247,            0.078305,                   0,             0.00703,             0.00703,             0.00703
