               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10686,             0.13321,                   0,            0.031333,             0.41593,            0.032697,            0.012192,             0.10354,            0.060388,                   0,              0.0856,              0.0016,              0.0016
                   1,              0.1053,             0.13153,                   0,            0.029444,             0.46903,            0.036449,            0.012287,             0.10176,            0.061827,                   0,            0.070267,           0.0032673,           0.0032673
                   2,             0.10353,             0.15566,                   0,            0.031333,             0.41593,            0.033369,            0.012461,             0.09993,            0.063248,                   0,            0.054901,            0.004901,            0.004901
                   3,             0.10192,             0.13716,                   0,            0.026667,             0.49558,            0.034792,            0.011463,            0.099072,            0.063912,                   0,            0.039501,            0.006501,            0.006501
                   4,             0.10148,               0.157,                   0,            0.026667,             0.49558,            0.032385,            0.010954,            0.098176,            0.064624,                   0,            0.024067,           0.0080674,           0.0080674
                   5,             0.10084,             0.14229,                   0,            0.031333,             0.41593,            0.028424,            0.010525,            0.096338,            0.066275,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.099524,             0.14725,                   0,            0.027143,             0.50442,            0.026024,           0.0096197,            0.095897,            0.066951,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.098651,             0.16057,                   0,               0.025,             0.53097,            0.034712,            0.010783,             0.11325,            0.053765,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.098167,             0.16149,                   0,            0.022857,             0.42478,            0.024839,           0.0074819,              0.1286,            0.042627,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.096462,             0.14735,                   0,            0.021481,             0.51327,            0.025601,           0.0075943,             0.13156,            0.049599,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.095983,             0.13958,                   0,            0.020935,             0.49558,            0.023572,           0.0065516,             0.13235,            0.047867,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.094265,             0.17076,                   0,            0.023333,             0.55752,            0.025158,           0.0068762,             0.12769,            0.050403,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.093361,             0.15132,                   0,            0.039534,             0.55752,            0.037232,           0.0095706,              0.1267,            0.049024,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.09391,             0.16175,                   0,            0.037927,             0.48673,            0.035494,            0.009794,             0.12733,            0.045647,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.092821,             0.17337,                   0,            0.040439,             0.46018,            0.036046,           0.0089797,             0.12483,            0.046835,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.091893,             0.16366,                   0,            0.045828,             0.41593,            0.041846,            0.010938,             0.12019,            0.050398,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.092489,             0.18172,                   0,            0.050024,             0.41593,            0.041913,             0.01077,              0.1145,            0.052336,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.092232,             0.14353,                   0,             0.04831,             0.40708,            0.043802,            0.010611,             0.11628,            0.050601,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.090469,             0.15127,                   0,            0.038973,             0.37168,            0.036438,            0.010744,             0.10962,            0.054958,                   0,            0.008317,            0.008317,            0.008317
